cntry_name,continent,tiff_file,mask_file
Algeria,Africa,/home/mary-camila/Downloads/flaresat-full/dataset/flare_patches/fire_LC81940382019006LGN00_14_23_patch.tiff,/home/mary-camila/Downloads/flaresat-full/dataset/flare_mask_patches/fire_LC81940382019006LGN00_14_23_mask.tiff
Algeria,Africa,/home/mary-camila/Downloads/flaresat-full/dataset/flare_patches/fire_LC81910402019241LGN00_17_21_patch.tiff,/home/mary-camila/Downloads/flaresat-full/dataset/flare_mask_patches/fire_LC81910402019241LGN00_17_21_mask.tiff
Indonesia,Asia,/home/mary-camila/Downloads/flaresat-full/dataset/flare_patches/fire_LC81220642019222LGN00_19_23_patch.tiff,/home/mary-camila/Downloads/flaresat-full/dataset/flare_mask_patches/fire_LC81220642019222LGN00_19_23_mask.tiff
China,Asia,/home/mary-camila/Downloads/flaresat-full/dataset/flare_patches/fire_LC81440322019360LGN00_6_12_patch.tiff,/home/mary-camila/Downloads/flaresat-full/dataset/flare_mask_patches/fire_LC81440322019360LGN00_6_12_mask.tiff
Iraq,Asia,/home/mary-camila/Downloads/flaresat-full/dataset/flare_patches/fire_LC81670372019217LGN00_28_22_patch.tiff,/home/mary-camila/Downloads/flaresat-full/dataset/flare_mask_patches/fire_LC81670372019217LGN00_28_22_mask.tiff
Mexico,North America,/home/mary-camila/Downloads/flaresat-full/dataset/flare_patches/fire_LC80230472019248LGN00_23_21_patch.tiff,/home/mary-camila/Downloads/flaresat-full/dataset/flare_mask_patches/fire_LC80230472019248LGN00_23_21_mask.tiff
Saudi Arabia,Asia,/home/mary-camila/Downloads/flaresat-full/dataset/flare_patches/fire_LC81640412019228LGN00_24_17_patch.tiff,/home/mary-camila/Downloads/flaresat-full/dataset/flare_mask_patches/fire_LC81640412019228LGN00_24_17_mask.tiff
Iraq,Asia,/home/mary-camila/Downloads/flaresat-full/dataset/flare_patches/fire_LC81700352019254LGN00_4_21_patch.tiff,/home/mary-camila/Downloads/flaresat-full/dataset/flare_mask_patches/fire_LC81700352019254LGN00_4_21_mask.tiff
China,Asia,/home/mary-camila/Downloads/flaresat-full/dataset/flare_patches/fire_LC81210332019023LGN00_24_13_patch.tiff,/home/mary-camila/Downloads/flaresat-full/dataset/flare_mask_patches/fire_LC81210332019023LGN00_24_13_mask.tiff
Oman,Asia,/home/mary-camila/Downloads/flaresat-full/dataset/flare_patches/fire_LC81580452019074LGN00_24_3_patch.tiff,/home/mary-camila/Downloads/flaresat-full/dataset/flare_mask_patches/fire_LC81580452019074LGN00_24_3_mask.tiff
