index,cntry_name,cntry_iso,catalog_id,id_number,latitude,longitude,flr_volume,avg_temp,ellip,dtc_freq,clr_obs,flr_type,queue
0,Venezuela,VEN,VEN_UPS_2015_63.6235W_9.6520N_v0.2,3591,9.652042,-63.623525,1.167233786,1839.27,1.6015,100.0,112,upstream,False
1,Iraq,IRQ,IRQ_UPS_2015_47.2834E_31.0259N_v0.2,6116,31.025901,47.283392,1.092002047,1651.94,4.78228,83.5821,67,upstream,False
2,Iran,IRN,IRN_UPS_2015_49.7141E_28.4940N_v0.2,6450,28.494039,49.714096,0.947875882,1658.76,2.31782,100.0,265,upstream,False
3,Venezuela,VEN,VEN_UPS_2015_63.5638W_9.6484N_v0.2,3617,9.648367,-63.563771,0.838632822,1789.81,1.6015,100.0,119,upstream,False
4,Iran,IRN,IRN_UPS_2015_48.1395E_31.0032N_v0.2,6253,31.003182,48.13951,0.787969544,1660.03,1.84388,100.0,95,upstream,False
5,Venezuela,VEN,VEN_UPS_2015_63.7249W_9.6204N_v0.2,3560,9.620433,-63.724922,0.620763115,1874.09,1.6015,99.1071,112,upstream,False
6,Russian Federation,RUS,RUS_UPS_2015_96.2493E_60.4345N_v0.2,8136,60.434499,96.249293,0.605766667,1748.72,3.67014,100.0,147,upstream,False
7,Iraq,IRQ,IRQ_UPS_2015_47.4362E_31.6754N_v0.2,6146,31.675434,47.436162,0.599473384,1679.93,2.10475,100.0,91,upstream,False
8,Venezuela,VEN,VEN_UPS_2015_63.4737W_9.7355N_v0.2,3640,9.73549,-63.473673,0.577696393,1849.81,1.6015,97.2973,111,upstream,False
9,Iraq,IRQ,IRQ_UPS_2015_47.6112E_30.5261N_v0.2,6178,30.52607,47.611209,0.558972114,1755.17,2.45028,100.0,140,upstream,False
10,Venezuela,VEN,VEN_UPS_2015_63.6950W_9.6265N_v0.2,3571,9.626489,-63.695031,0.53363754,1853.07,1.6015,99.1453,117,upstream,False
11,Iraq,IRQ,IRQ_UPS_2015_47.5150E_31.6560N_v0.2,6159,31.656038,47.514963,0.508346995,1727.81,2.30046,100.0,145,upstream,False
12,Mexico,MEX,MEX_UPS_2015_92.2379W_19.5662N_v0.2,3231,19.566166,-92.237947,0.503315891,1694.59,1.66802,100.0,182,upstream,False
13,Iran,IRN,IRN_UPS_2015_53.1486E_25.5323N_v0.2,6707,25.532252,53.148618,0.493450348,1664.74,1.71442,100.0,305,upstream,False
14,Mexico,MEX,MEX_UPS_2015_93.1195W_17.8418N_v0.2,3207,17.841816,-93.119532,0.478588924,1640.64,1.6015,98.1481,108,upstream,False
15,Russian Federation,RUS,RUS_UPS_2018_96.5097E_60.4262N_v0.2,8148,60.426248,96.509687,0.477655498,1756.86,1.32782,96.3964,111,upstream,False
16,Iran,IRN,IRN_UPS_2017_52.2356E_27.6877N_v0.2,6649,27.687749,52.235588,0.456603527,1755.53,3.08304,96.3768,138,upstream,False
17,Libya,LBY,LBY_UPS_2015_19.7731E_28.9093N_v0.2,4737,28.909294,19.773126,0.455394183,1558.24,3.40822,99.4048,168,upstream,False
18,Venezuela,VEN,VEN_UPS_2015_63.5344W_9.6529N_v0.2,3624,9.652864,-63.534439,0.455176971,1838.41,1.6015,99.1803,122,upstream,False
19,Russian Federation,RUS,RUS_UPS_2015_70.9884E_66.1987N_v0.2,7075,66.198652,70.988373,0.448490358,1811.77,2.73191,97.4359,195,upstream,False
20,Iran,IRN,IRN_UPS_2015_52.6389E_27.5040N_v0.2,6684,27.503956,52.638871,0.445161727,1764.98,4.13642,100.0,121,upstream,False
21,Iran,IRN,IRN_UPS_2017_52.2496E_27.6838N_v0.2,6651,27.683828,52.249613,0.442138368,1729.89,2.56216,100.0,203,upstream,False
22,Iran,IRN,IRN_UPS_2015_48.2801E_30.7514N_v0.2,6269,30.75139,48.280062,0.439848834,1658.81,1.62145,99.0291,206,upstream,False
23,Venezuela,VEN,VEN_DNS_2015_70.1987W_11.7386N_v0.2,3502,11.738591,-70.19874,0.433866693,1665.75,1.6015,100.0,132,refinery,False
24,Russian Federation,RUS,RUS_UPS_2015_72.5175E_67.8031N_v0.2,7117,67.803141,72.517524,0.423393543,1805.0,1.62028,96.0474,253,upstream,False
25,Russian Federation,RUS,RUS_UPS_2015_106.8031E_57.9840N_v0.2,8213,57.984045,106.803078,0.422257582,1761.69,2.12629,99.4012,167,upstream,False
26,Iraq,IRQ,IRQ_UPS_2015_43.8766E_35.6847N_v0.2,6028,35.684706,43.876577,0.420810479,1724.47,1.76229,92.5373,134,upstream,False
27,Russian Federation,RUS,RUS_UPS_2016_105.8857E_57.8748N_v0.2,8188,57.874799,105.885678,0.417267572,1860.78,1.78991,97.561,123,upstream,False
28,Australia,AUS,AUS_UPS_2018_123.3152E_13.9647S_v0.2,9672,-13.964671,123.315189,0.4048219,1809.28,2.09639,94.9275,276,upstream,False
29,Russian Federation,RUS,RUS_UPS_2015_112.8012E_61.3460N_v0.2,8280,61.346028,112.801243,0.404466728,1765.6,2.73283,98.9474,190,upstream,False
30,Iraq,IRQ,IRQ_UPS_2015_43.7695E_35.9808N_v0.2,6022,35.98079,43.769546,0.401789735,1709.22,3.52695,97.5,80,upstream,False
31,Iran,IRN,IRN_UPS_2015_52.6484E_27.4986N_v0.2,6686,27.498643,52.648396,0.398895529,1752.08,3.39209,100.0,125,upstream,False
32,Kazakhstan,KAZ,KAZ_UPS_2015_57.3515E_48.2336N_v0.2,5806,48.233619,57.351507,0.398528616,1794.18,1.99248,95.9459,222,upstream,False
33,Russian Federation,RUS,RUS_UPS_2018_113.1653E_61.5401N_v0.2,8285,61.540079,113.165272,0.387436118,1791.07,2.25397,98.6486,222,upstream,False
34,Iraq,IRQ,IRQ_UPS_2015_47.3148E_30.5678N_v0.2,6118,30.5678,47.314836,0.387198358,1690.15,2.38208,100.0,149,upstream,False
35,Russian Federation,RUS,RUS_UPS_2015_106.5464E_58.0353N_v0.2,8195,58.03527,106.546431,0.383740575,1768.33,1.95747,98.8889,180,upstream,False
36,Turkmenistan,TKM,TKM_UPS_2015_53.1868E_39.3983N_v0.2,6711,39.398269,53.186833,0.382686802,1731.79,2.0234,94.8276,232,upstream,False
37,Iraq,IRQ,IRQ_UPS_2015_47.4102E_32.1175N_v0.2,6140,32.117546,47.410217,0.380787663,1635.5,1.72514,100.0,149,upstream,False
38,Algeria,DZA,DZA_UPS_2015_09.7891E_28.7358N_v0.2,4667,28.735781,9.789133,0.375222334,1739.05,1.6768,100.0,237,upstream,False
39,Russian Federation,RUS,RUS_UPG_2015_52.7567E_51.5677N_v0.2,5650,51.567703,52.756661,0.364790278,1706.1,1.9123,96.8153,157,gas,False
40,Iraq,IRQ,IRQ_UPS_2015_47.5992E_30.5292N_v0.2,6174,30.529155,47.599214,0.363234569,1745.28,2.49476,99.4819,193,upstream,False
41,Venezuela,VEN,VEN_UPS_2015_63.4748W_9.6787N_v0.2,3641,9.678746,-63.474752,0.357049892,1847.7,1.6015,97.6923,130,upstream,False
42,Mexico,MEX,MEX_UPS_2015_92.0431W_19.3942N_v0.2,3244,19.394175,-92.043127,0.352538336,1716.03,1.66592,100.0,175,upstream,False
43,Iraq,IRQ,IRQ_UPS_2015_47.3298E_30.6868N_v0.2,6123,30.68683,47.329808,0.351995305,1666.24,2.03099,94.7368,152,upstream,False
44,Russian Federation,RUS,RUS_UPS_2015_112.8152E_61.3453N_v0.2,8281,61.345347,112.815167,0.350404373,1786.87,2.20349,99.061,213,upstream,False
45,Iraq,IRQ,IRQ_UPS_2015_46.0642E_31.7689N_v0.2,6088,31.768883,46.064214,0.348106033,1878.64,2.09685,98.3607,122,upstream,False
46,Iran,IRN,IRN_UPS_2015_52.1767E_27.7197N_v0.2,6638,27.719663,52.176671,0.344478002,1756.11,2.4814,100.0,127,upstream,False
47,Venezuela,VEN,VEN_UPS_2015_64.5462W_9.3866N_v0.2,3530,9.386551,-64.546197,0.339543763,1719.05,1.6015,100.0,104,upstream,False
48,Iraq,IRQ,IRQ_UPS_2015_47.3267E_30.6099N_v0.2,6120,30.609909,47.326727,0.337160299,1626.92,4.06458,100.0,148,upstream,False
49,Iraq,IRQ,IRQ_UPS_2015_47.3158E_30.4948N_v0.2,6119,30.494845,47.315848,0.334844348,1680.07,2.25344,100.0,179,upstream,False
50,Algeria,DZA,DZA_UPS_2015_07.1938E_28.6839N_v0.2,4572,28.683886,7.193849,0.330828857,1738.71,1.28472,100.0,278,upstream,False
51,Iraq,IRQ,IRQ_UPS_2015_44.0091E_35.6286N_v0.2,6032,35.628582,44.009103,0.328821112,1767.34,1.58984,100.0,140,upstream,False
52,Russian Federation,RUS,RUS_UPS_2015_53.8127E_51.8460N_v0.2,5696,51.846024,53.812679,0.327547192,1709.53,1.33584,97.2973,148,upstream,False
53,Russian Federation,RUS,RUS_UPG_2015_78.7477E_66.2827N_v0.2,7477,66.2827,78.747725,0.327341721,1657.16,2.18,94.5,200,gas,False
54,Iran,IRN,IRN_DNS_2016_47.8364E_31.4343N_v0.2,6214,31.434332,47.836382,0.321688333,1698.02,1.27032,100.0,181,refinery,False
55,Libya,LBY,LBY_UPS_2015_20.9544E_28.9049N_v0.2,4751,28.904874,20.954421,0.319114075,1574.21,1.35166,100.0,186,upstream,False
56,Algeria,DZA,DZA_DNS_2015_06.0563E_31.6628N_v0.2,4535,31.662793,6.056318,0.318711939,1673.65,2.7106,100.0,191,refinery,False
57,Iraq,IRQ,IRQ_UPS_2015_47.3323E_30.8821N_v0.2,6127,30.882061,47.332325,0.311887366,1714.63,2.01673,98.3425,181,upstream,False
58,Iran,IRN,IRN_UPS_2015_48.1165E_31.2716N_v0.2,6248,31.271623,48.116485,0.310487228,1569.23,1.07737,100.0,197,upstream,False
59,Russian Federation,RUS,RUS_UPS_2016_79.9470E_68.5236N_v0.2,7536,68.523579,79.946974,0.308831719,1829.85,1.6015,96.281,242,upstream,False
60,Australia,AUS,AUS_DNG_2018_123.3177E_13.7863S_v0.2,9671,-13.786329,123.317703,0.305488412,1677.92,1.91206,95.7295,281,lng,False
61,Iraq,IRQ,IRQ_UPS_2015_47.3314E_30.5614N_v0.2,6125,30.561383,47.331443,0.301696005,1626.55,1.64746,99.5192,208,upstream,False
62,Algeria,DZA,DZA_UPS_2016_06.2239E_31.8152N_v0.2,4549,31.815228,6.223885,0.300950438,1735.99,1.08005,100.0,278,upstream,False
63,Iraq,IRQ,IRQ_UPS_2015_43.7618E_35.9983N_v0.2,6019,35.998262,43.76181,0.299506271,1828.75,1.84725,98.7421,159,upstream,False
64,Iraq,IRQ,IRQ_UPS_2015_47.6082E_30.4191N_v0.2,6177,30.419146,47.608166,0.295393916,1762.23,1.68127,100.0,196,upstream,False
65,Iraq,IRQ,IRQ_UPS_2015_47.6266E_31.0817N_v0.2,6180,31.081721,47.62659,0.295024068,1611.09,1.76055,99.5951,247,upstream,False
66,Algeria,DZA,DZA_UPS_2015_05.9582E_31.5905N_v0.2,4527,31.590484,5.958238,0.291111606,1710.25,0.994693,89.6104,308,upstream,False
67,Iraq,IRQ,IRQ_UPS_2015_45.1515E_34.7561N_v0.2,6075,34.75608,45.151461,0.290867976,1715.03,0.880307,80.0,70,upstream,False
68,Iraq,IRQ,IRQ_UPS_2015_47.4147E_30.1660N_v0.2,6141,30.165983,47.414682,0.290677475,1626.98,1.55992,99.4595,185,upstream,False
69,Nigeria,NGA,NGA_UPS_2015_07.6598E_4.3046N_v0.2,5041,4.304586,7.659784,0.289932203,1634.04,1.34074,100.0,53,upstream,False
70,Iraq,IRQ,IRQ_UPS_2015_45.9643E_31.3573N_v0.2,6086,31.357313,45.964342,0.287108444,1743.05,1.61651,97.6526,213,upstream,False
71,Iran,IRN,IRN_UPS_2015_49.8606E_30.3898N_v0.2,6465,30.38983,49.860575,0.286094592,1784.88,2.60095,100.0,153,upstream,False
72,Egypt,EGY,EGY_UPS_2015_26.0818E_30.5343N_v0.2,4799,30.534308,26.081758,0.283279932,1682.94,1.46257,98.2456,171,upstream,False
73,Nigeria,NGA,NGA_UPS_2015_05.5616E_3.4651N_v0.2,4979,3.465073,5.56156,0.282044758,1642.56,1.95453,100.0,66,upstream,False
74,Iraq,IRQ,IRQ_UPS_2015_44.0400E_35.7244N_v0.2,6034,35.724386,44.039997,0.281212601,1708.73,1.74848,97.7011,87,upstream,False
75,Russian Federation,RUS,RUS_UPS_2015_107.6011E_58.4477N_v0.2,8234,58.447704,107.601133,0.280719764,1680.71,2.46388,99.435,177,upstream,False
76,Iraq,IRQ,IRQ_UPS_2015_47.3381E_30.3575N_v0.2,6129,30.357523,47.338068,0.276153905,1622.96,1.57494,100.0,206,upstream,False
77,Iran,IRN,IRN_UPS_2015_47.7066E_32.3525N_v0.2,6188,32.352468,47.706571,0.274207507,1691.53,2.64869,99.3631,157,upstream,False
78,Mexico,MEX,MEX_UPS_2015_93.1839W_17.8967N_v0.2,3203,17.896686,-93.18389,0.272419616,1647.32,1.6015,100.0,116,upstream,False
79,Congo,COG,COG_UPS_2015_11.3822E_4.9234S_v0.2,5161,-4.92343,11.382162,0.270736221,1753.78,2.36688,100.0,71,upstream,False
80,Iraq,IRQ,IRQ_UPS_2015_47.5505E_32.1072N_v0.2,6166,32.107158,47.550501,0.269958954,1677.53,1.46188,98.8701,177,upstream,False
81,Venezuela,VEN,VEN_UPS_2015_63.4610W_9.7298N_v0.2,3645,9.729838,-63.46096,0.260584193,1854.78,1.6015,97.479,119,upstream,False
82,Algeria,DZA,DZA_UPS_2015_06.0628E_31.6318N_v0.2,4538,31.63177,6.062789,0.2602164,1707.5,1.76052,89.7727,352,upstream,False
83,Nigeria,NGA,NGA_UPS_2015_08.1672E_4.2899N_v0.2,5059,4.28985,8.167174,0.260004178,1655.22,2.17256,93.4783,46,upstream,False
84,Iran,IRN,IRN_UPS_2015_49.6864E_29.9427N_v0.2,6445,29.942732,49.686405,0.252146673,1680.23,1.69016,98.0392,306,upstream,False
85,Algeria,DZA,DZA_UPS_2015_05.8095E_31.6949N_v0.2,4519,31.694884,5.80953,0.249683663,1682.6,1.45172,100.0,275,upstream,False
86,Iraq,IRQ,IRQ_UPS_2015_47.6019E_30.4764N_v0.2,6175,30.476418,47.601944,0.248000855,1699.56,1.69856,99.4845,194,upstream,False
87,Libya,LBY,LBY_UPS_2015_22.3236E_27.9869N_v0.2,4780,27.986907,22.323606,0.246783293,1585.85,1.32296,100.0,253,upstream,False
88,Iraq,IRQ,IRQ_UPS_2015_47.6648E_30.7520N_v0.2,6185,30.752032,47.664812,0.246095846,1677.21,2.08209,100.0,195,upstream,False
89,Iraq,IRQ,IRQ_UPS_2018_47.4323E_31.7315N_v0.2,6145,31.731471,47.432338,0.244416854,1824.03,2.93162,100.0,160,upstream,False
90,Iraq,IRQ,IRQ_UPS_2015_47.2513E_32.2561N_v0.2,6111,32.256122,47.251278,0.243246843,1662.23,1.3638,99.5283,212,upstream,False
91,Malaysia,MYS,MYS_UPS_2015_115.6578E_6.3466N_v0.2,9182,6.346615,115.657819,0.242549123,1855.16,1.8979,93.617,94,upstream,False
92,Russian Federation,RUS,RUS_UPS_2015_83.6235E_68.4111N_v0.2,7595,68.4111,83.623507,0.239591221,1774.59,1.00983,95.1049,286,upstream,False
